0.035095,12.12,36.324,-75.8,0.10799,136.07,1429.9,6465.4,0.32862,11.665,37.813,80.408,15.032,0.85051,0.70564,-0.82215,298.93,2.7514,1.8749,2.0974
14.09,0.11491,16.534,-97.109,49.445,0.38617,105.38,4412.3,7.0317,0.62142,10.265,66.425,0.32001,7.4341,-0.041621,-0.72585,3.0189,72.951,1.9491,2.3285
3.7804,5.3485,29.408,-104.34,53.551,51.298,505.45,3682,7.3179,7.1622,22.482,60.68,2.7801,1.4835,0.59074,-0.12642,12.182,4.5661,2.3381,1.6181
19.742,6.8711,3.8502,-144.66,192.84,48.429,70.644,4281.7,13.887,6.9591,8.405,65.435,-0.19451,2.2578,3.9477,0.55866,1.7398,13.867,25.211,2.0534
0.27547,56.567,68.784,-140.08,2.6347,696.28,1988.6,1845.4,1.6232,26.387,44.594,42.958,7.6122,-0.19879,-0.19271,0.47508,70.977,1.6704,1.6365,2.7161
9.9789,17.63,61.161,-118.86,329.69,169.85,2739.4,4742.5,18.157,13.033,52.339,68.866,1.7126,0.57984,0.18267,-0.16226,4.6965,2.7456,1.5243,1.7159
0.48654,44.282,55.114,-138.44,4.4423,621.16,1323,4057.7,2.1077,24.923,36.373,63.7,5.0496,-0.11163,0.15467,-0.18007,28.782,2.3743,2.2239,2.1879
0.0010071,44.291,96.83,-159.6,0.0044241,268.96,1247.2,2513.4,0.066514,16.4,35.316,50.134,90.805,0.10759,-0.26339,0.48456,9622.8,3.2111,2.0593,2.4552
0.20834,24.545,44.71,-123.88,1.2459,150.74,1129.4,3189.5,1.1162,12.278,33.607,56.475,6.2112,0.12156,0.76396,-0.39899,44.475,2.5491,2.7582,2.7157
25.985,0.045517,24.968,-86.549,521.38,0.25457,386.39,6997.7,22.834,0.50455,19.657,83.652,0.69111,20.081,0.34355,-0.67916,2.3529,539.33,1.8211,1.8947
7.6084,17.72,15.399,-91.062,186.87,571.38,394.47,4409.7,13.67,23.904,19.861,66.405,3.131,2.154,1.2788,-0.46668,15.569,7.6664,3.7538,2.1776
